Referencia interna;Nombre;Precio de venta;Cantidad a mano;Unidad de medida
BMNW00M;BATA MANHATTAN WIN (COLOR: BLANCO/TALLA: M);49.00;1;Unidades
BMNW00S;BATA MANHATTAN WIN (COLOR: BLANCO/TALLA: S);49.00;1;Unidades
BMNW00XL;BATA MANHATTAN WIN (COLOR: BLANCO/TALLA: XL);49.00;1;Unidades
BMNW00XS;BATA MANHATTAN WIN (COLOR: BLANCO/TALLA: XS);49.00;1;Unidades
BMNW00XXL;BATA MANHATTAN WIN (COLOR: BLANCO/TALLA: XXL);49.00;0;Unidades
BDSMW00L;BATA MUJER SMITH WIN (COLOR: BLANCO/TALLA: L);49.00;0;Unidades
BDSMW00XS;BATA MUJER SMITH WIN (COLOR: BLANCO/TALLA: XS);49.00;2;Unidades
BDTHT00L;BATA MUJER THERA TINK (COLOR: BLANCO/TALLA: L);49.00;2;Unidades
BDTHT00M;BATA MUJER THERA TINK (COLOR: BLANCO/TALLA: M);49.00;0;Unidades
BDTHT00XL;BATA MUJER THERA TINK (COLOR: BLANCO/TALLA: XL);49.00;1;Unidades
BDTHT00XXL;BATA MUJER THERA TINK (COLOR: BLANCO/TALLA: XXL);49.00;0;Unidades
BMSDWA00L;BATA MUSA MUJER WIN (COLOR: BLANCO/TALLA: L);49.00;18;Unidades
BMSDWA00M;BATA MUSA MUJER WIN (COLOR: BLANCO/TALLA: M);49.00;32;Unidades
BMSDWA00S;BATA MUSA MUJER WIN (COLOR: BLANCO/TALLA: S);49.00;38;Unidades
BMSDWA00XL;BATA MUSA MUJER WIN (COLOR: BLANCO/TALLA: XL);49.00;13;Unidades
BMSDWA00XS;BATA MUSA MUJER WIN (COLOR: BLANCO/TALLA: XS);49.00;14;Unidades
BMSDWA00XXL;BATA MUSA MUJER WIN (COLOR: BLANCO/TALLA: XXL);49.00;4;Unidades
BPRDSM64L;BATA PARIGI MUJER SMART (COLOR: LILA/TALLA: L);49.00;11;Unidades
BPRDSM64M;BATA PARIGI MUJER SMART (COLOR: LILA/TALLA: M);49.00;36;Unidades
BPRDSM64S;BATA PARIGI MUJER SMART (COLOR: LILA/TALLA: S);49.00;41;Unidades
BPRDSM64XL;BATA PARIGI MUJER SMART (COLOR: LILA/TALLA: XL);49.00;1;Unidades
BPRDSM64XS;BATA PARIGI MUJER SMART (COLOR: LILA/TALLA: XS);49.00;18;Unidades
BPRDSM64XXL;BATA PARIGI MUJER SMART (COLOR: LILA/TALLA: XXL);49.00;0;Unidades
BPRDSM102L;BATA PARIGI MUJER SMART (COLOR: SALMON/TALLA: L);49.00;0;Unidades
BPRDSM102M;BATA PARIGI MUJER SMART (COLOR: SALMON/TALLA: M);49.00;0;Unidades
BPRDSM102S;BATA PARIGI MUJER SMART (COLOR: SALMON/TALLA: S);49.00;0;Unidades
BPRDSM102XL;BATA PARIGI MUJER SMART (COLOR: SALMON/TALLA: XL);49.00;0;Unidades
BPRDSM102XS;BATA PARIGI MUJER SMART (COLOR: SALMON/TALLA: XS);49.00;0;Unidades
BPRDSM102XXL;BATA PARIGI MUJER SMART (COLOR: SALMON/TALLA: XXL);49.00;0;Unidades
BPRDSM76L;BATA PARIGI MUJER SMART (COLOR: YELLOW/TALLA: L);49.00;25;Unidades
BPRDSM76M;BATA PARIGI MUJER SMART (COLOR: YELLOW/TALLA: M);49.00;51;Unidades
BPRDSM76S;BATA PARIGI MUJER SMART (COLOR: YELLOW/TALLA: S);49.00;52;Unidades
BPRDSM76XL;BATA PARIGI MUJER SMART (COLOR: YELLOW/TALLA: XL);49.00;14;Unidades
BPRDSM76XS;BATA PARIGI MUJER SMART (COLOR: YELLOW/TALLA: XS);49.00;28;Unidades
BPRDSM76XXL;BATA PARIGI MUJER SMART (COLOR: YELLOW/TALLA: XXL);49.00;5;Unidades
BTYWA00L;BATA TAYLOR WIN (COLOR: BLANCO/TALLA: L);49.00;11;Unidades
BTYWA00M;BATA TAYLOR WIN (COLOR: BLANCO/TALLA: M);49.00;26;Unidades
BTYWA00S;BATA TAYLOR WIN (COLOR: BLANCO/TALLA: S);49.00;31;Unidades
BTYWA00XL;BATA TAYLOR WIN (COLOR: BLANCO/TALLA: XL);49.00;3;Unidades
BTYW00XS;BATA TAYLOR WIN (COLOR: BLANCO/TALLA: XS);49.00;0;Unidades
BTYWA00XS;BATA TAYLOR WIN (COLOR: BLANCO/TALLA: XS);49.00;15;Unidades
BTYWA00XXL;BATA TAYLOR WIN (COLOR: BLANCO/TALLA: XXL);49.00;3;Unidades
BTYW00XXL;BATA TAYLOR WIN (COLOR: BLANCO/TALLA: XXL);49.00;0;Unidades
BTLQXWA00L;BATA TOLEDO QX HOMBRE WIN (COLOR: BLANCO/TALLA: L);49.00;13;Unidades
BTLQXWA00M;BATA TOLEDO QX HOMBRE WIN (COLOR: BLANCO/TALLA: M);49.00;19;Unidades
BTLQXWA00S;BATA TOLEDO QX HOMBRE WIN (COLOR: BLANCO/TALLA: S);49.00;3;Unidades
BTLQXWA00XL;BATA TOLEDO QX HOMBRE WIN (COLOR: BLANCO/TALLA: XL);49.00;13;Unidades
BTLQXWA00XXL;BATA TOLEDO QX HOMBRE WIN (COLOR: BLANCO/TALLA: XXL);49.00;0;Unidades
BTLT00S;BATA TOLEDO TINK (COLOR: BLANCO/TALLA: S);49.00;0;Unidades
BTLT00XXL;BATA TOLEDO TINK (COLOR: BLANCO/TALLA: XXL);49.00;0;Unidades
BTLW00L;BATA TOLEDO WIN (COLOR: BLANCO/TALLA: L);49.00;0;Unidades
BTLWA00L;BATA TOLEDO WIN (COLOR: BLANCO/TALLA:L);49.00;8;Unidades
BTLW00M;BATA TOLEDO WIN (COLOR: BLANCO/TALLA: M);49.00;0;Unidades
BTLWA00M;BATA TOLEDO WIN (COLOR: BLANCO/TALLA:M);49.00;28;Unidades
